indice-de-tiempo,pais_id,pais,provincia_id,provincia,producto_id,producto,unidad_de medida,cantidad
2015-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,529
2015-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,513
2015-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,478
2015-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,448
2015-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,433
2015-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,430
2015-09,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,422
2015-10,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,415
2015-11,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,420
2015-12,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,444
2016-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,493
2016-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,537
2016-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,565
2016-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,615
2016-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,649
2016-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,585
2016-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,581
2016-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,468
2016-09,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,421
2016-10,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,422
2016-11,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,388
2016-12,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,380
2017-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,419
2017-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,443
2017-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,488
2017-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,457
2017-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,459
2017-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,400
2017-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,399
2017-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,426
2014-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,533
2014-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,619
2014-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,629
2014-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,643
2014-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,610
2014-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,575
2014-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,594
2014-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,571
2014-09,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,560
2014-10,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,554
2014-11,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,554
2014-12,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,541
2015-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,598
2015-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,609
2015-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,598
2015-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,550
2015-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,526
2015-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,509
2015-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,493
2015-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,518
2015-09,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,488
2015-10,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,469
2015-11,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,485
2015-12,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,514
2016-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,548
2016-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,571
2016-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,598
2016-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,647
2016-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,704
2016-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,634
2016-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,652
2016-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,628
2016-09,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,577
2016-10,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,610
2016-11,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,474
2016-12,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,468
2017-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,462
2017-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,452
2017-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,628
2017-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,625
2017-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,502
2017-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,404
2017-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,610
2017-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de células,415
2014-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,371
2014-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,377
2014-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,379
2014-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,401
2014-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de células,409
